,cond,word,ort,pho,wf
0,High-frequency exception,are,____a_re______,___ar_____,177808
1,High-frequency exception,both,___bo_th______,__boT_____,25695
2,High-frequency exception,break,__break_______,_brek_____,3571
3,High-frequency exception,choose,__choose______,__Cuz_____,1619
4,High-frequency exception,come,___co_me______,__k^m_____,12950
5,High-frequency exception,do,___do_________,__du______,27937
6,High-frequency exception,does,___does_______,__d^z_____,8595
7,High-frequency exception,done,___do_ne______,__d^n_____,6760
8,High-frequency exception,foot,___foot_______,__fUt_____,1258
9,High-frequency exception,give,___gi_ve______,__gIv_____,12773
10,High-frequency exception,great,__great_______,_gret_____,8781
11,High-frequency exception,have,___ha_ve______,__h@v_____,165137
12,High-frequency exception,move,___mo_ve______,__muv_____,15270
13,High-frequency exception,put,___pu_t_______,__pUt_____,13638
14,High-frequency exception,pull,___pu_ll______,__pUl_____,1259
15,High-frequency exception,said,___said_______,__sEd_____,345647
16,High-frequency exception,says,___says_______,__sEz_____,111942
17,High-frequency exception,shall,__sha_ll______,__S@l_____,462
18,High-frequency exception,want,___wa_nt______,__want____,14241
19,High-frequency exception,watch,___wa_tch_____,__watC____,1793
20,High-frequency exception,were,___we_re______,__w^r_____,86582
21,High-frequency exception,what,__wha_t_______,__w^t_____,38782
22,High-frequency exception,word,___wo_rd______,__w^rd____,2853
23,High-frequency exception,work,___wo_rk______,__w^rk____,22012
24,High-frequency regular-inconsistent,base,___ba_se______,__bes_____,6018
25,High-frequency regular-inconsistent,bone,___bo_ne______,__bon_____,395
26,High-frequency regular-inconsistent,but,___bu_t_______,__b^t_____,174118
27,High-frequency regular-inconsistent,catch,___ca_tch_____,__k@tC____,1168
28,High-frequency regular-inconsistent,cool,___cool_______,__kul_____,770
29,High-frequency regular-inconsistent,days,___days_______,__dez_____,18406
30,High-frequency regular-inconsistent,dear,___dear_______,__dir_____,245
31,High-frequency regular-inconsistent,flew,__flew________,_flu______,671
32,High-frequency regular-inconsistent,flat,__fla_t_______,_fl@t_____,2476
33,High-frequency regular-inconsistent,five,___fi_ve______,__fAv_____,20929
34,High-frequency regular-inconsistent,form,___fo_rm______,__form____,5838
35,High-frequency regular-inconsistent,go,___go_________,__go______,15656
36,High-frequency regular-inconsistent,goes,___goes_______,__goz_____,3827
37,High-frequency regular-inconsistent,grow,__grow________,_gro______,3372
38,High-frequency regular-inconsistent,here,___he_re______,__hir_____,18471
39,High-frequency regular-inconsistent,home,___ho_me______,__hom_____,18432
40,High-frequency regular-inconsistent,meat,___meat_______,__mit_____,1041
41,High-frequency regular-inconsistent,paid,___paid_______,__ped_____,11077
42,High-frequency regular-inconsistent,plant,__pla_nt______,_pl@nt____,13641
43,High-frequency regular-inconsistent,roll,___ro_ll______,__rol_____,1082
44,High-frequency regular-inconsistent,root,___root_______,__rut_____,435
45,High-frequency regular-inconsistent,sand,___sa_nd______,__s@nd____,424
46,High-frequency regular-inconsistent,small,__sma_ll______,_smal_____,16437
47,High-frequency regular-inconsistent,speak,__speak_______,_spik_____,1409
48,Low-frequency exception,bowl,___bowl_______,__bol_____,462
49,Low-frequency exception,broad,__broad_______,_brad_____,3234
50,Low-frequency exception,bush,___bu_sh______,__bUS_____,8190
51,Low-frequency exception,deaf,___deaf_______,__dEf_____,130
52,Low-frequency exception,doll,___do_ll______,__dal_____,180
53,Low-frequency exception,flood,__flood_______,_fl^d_____,691
54,Low-frequency exception,gross,__gro_ss______,_gros_____,2564
55,Low-frequency exception,lose,___lo_se______,__luz_____,3089
56,Low-frequency exception,pear,___pear_______,__pEr_____,39
57,Low-frequency exception,phase,__pha_se______,__fez_____,1431
58,Low-frequency exception,pint,___pi_nt______,__pAnt____,49
59,Low-frequency exception,plow,__plow________,_plW______,90
60,Low-frequency exception,rouse,___rouse______,__rWz_____,131
61,Low-frequency exception,sew,___sew________,__so______,20
62,Low-frequency exception,shoe,__shoe________,__Su______,901
63,Low-frequency exception,spook,__spook_______,_spuk_____,27
64,Low-frequency exception,swamp,__swa_mp______,_swamp____,106
65,Low-frequency exception,swarm,__swa_rm______,_sworm____,32
66,Low-frequency exception,touch,___touch______,__t^C_____,1041
67,Low-frequency exception,wad,___wa_d_______,__wad_____,43
68,Low-frequency exception,wand,___wa_nd______,__wand____,17
69,Low-frequency exception,wash,___wa_sh______,__waS_____,1009
70,Low-frequency exception,wool,___wool_______,__wUl_____,153
71,Low-frequency exception,worm,___wo_rm______,__w^rm____,100
72,Low-frequency regular-inconsistent,brood,__brood_______,_brud_____,24
73,Low-frequency regular-inconsistent,cook,___cook_______,__kUk_____,687
74,Low-frequency regular-inconsistent,cord,___co_rd______,__kord____,66
75,Low-frequency regular-inconsistent,cove,___co_ve______,__kov_____,62
76,Low-frequency regular-inconsistent,cramp,__cra_mp______,_kr@mp____,6
77,Low-frequency regular-inconsistent,dare,___da_re______,__dEr_____,181
78,Low-frequency regular-inconsistent,fowl,___fowl_______,__fWl_____,16
79,Low-frequency regular-inconsistent,gull,___gu_ll______,__g^l_____,106
80,Low-frequency regular-inconsistent,harm,___ha_rm______,__harm____,707
81,Low-frequency regular-inconsistent,hoe,___hoe________,__ho______,27
82,Low-frequency regular-inconsistent,lash,___la_sh______,__l@S_____,24
83,Low-frequency regular-inconsistent,leaf,___leaf_______,__lif_____,248
84,Low-frequency regular-inconsistent,loss,___lo_ss______,__las_____,19611
85,Low-frequency regular-inconsistent,mad,___ma_d_______,__m@d_____,346
86,Low-frequency regular-inconsistent,moose,___moose______,__mus_____,38
87,Low-frequency regular-inconsistent,moth,___mo_th______,__maT_____,13
88,Low-frequency regular-inconsistent,mouse,___mouse______,__mWs_____,327
89,Low-frequency regular-inconsistent,mush,___mu_sh______,__m^S_____,24
90,Low-frequency regular-inconsistent,pork,___po_rk______,__pork____,957
91,Low-frequency regular-inconsistent,pose,___po_se______,__poz_____,722
92,Low-frequency regular-inconsistent,pouch,___pouch______,__pWC_____,22
93,Low-frequency regular-inconsistent,rave,___ra_ve______,__rev_____,44
94,Low-frequency regular-inconsistent,tint,___ti_nt______,__tInt____,18
95,Low-frequency regular-inconsistent,toad,___toad_______,__tod_____,9
96,Regular control for High-frequency exception,out,____out_______,___Wt_____,57860
97,Regular control for High-frequency exception,big,___bi_g_______,__bIg_____,28257
98,Regular control for High-frequency exception,best,___be_st______,__bEst____,11512
99,Regular control for High-frequency exception,class,__cla_ss______,_kl@s_____,8670
100,Regular control for High-frequency exception,came,___ca_me______,__kem_____,10386
101,Regular control for High-frequency exception,did,___di_d_______,__dId_____,12250
102,Regular control for High-frequency exception,tell,___te_ll______,__tEl_____,3809
103,Regular control for High-frequency exception,dark,___da_rk______,__dark____,1039
104,Regular control for High-frequency exception,fact,___fa_ct______,__f@kt____,8831
105,Regular control for High-frequency exception,got,___go_t_______,__gat_____,10012
106,Regular control for High-frequency exception,group,__group_______,_grup_____,49355
107,Regular control for High-frequency exception,him,___hi_m_______,__hIm_____,21969
108,Regular control for High-frequency exception,main,___main_______,__men_____,38576
109,Regular control for High-frequency exception,place,__pla_ce______,_ples_____,9034
110,Regular control for High-frequency exception,page,___pa_ge______,__peJ_____,3246
111,Regular control for High-frequency exception,see,___see________,__si______,15633
112,Regular control for High-frequency exception,stop,__sto_p_______,_stap_____,4719
113,Regular control for High-frequency exception,soon,___soon_______,__sun_____,8343
114,Regular control for High-frequency exception,which,__whi_ch______,__wIC_____,118913
115,Regular control for High-frequency exception,week,___week_______,__wik_____,31909
116,Regular control for High-frequency exception,with,___wi_th______,__wIT_____,241752
117,Regular control for High-frequency exception,when,__whe_n_______,__wEn_____,60840
118,Regular control for High-frequency exception,write,__wri_te______,__rAt_____,4525
119,Regular control for High-frequency exception,will,___wi_ll______,__wIl_____,164389
120,Regular control for High-frequency regular-inconsistent,bird,___bi_rd______,__b^rd____,469
121,Regular control for High-frequency regular-inconsistent,bag,___ba_g_______,__b@g_____,628
122,Regular control for High-frequency regular-inconsistent,by,___by_________,__bA______,243832
123,Regular control for High-frequency regular-inconsistent,clean,__clean_______,_klin_____,1737
124,Regular control for High-frequency regular-inconsistent,corn,___co_rn______,__korn____,2788
125,Regular control for High-frequency regular-inconsistent,draw,__draw________,_dra______,1538
126,Regular control for High-frequency regular-inconsistent,dust,___du_st______,__d^st____,476
127,Regular control for High-frequency regular-inconsistent,fish,___fi_sh______,__fIS_____,1327
128,Regular control for High-frequency regular-inconsistent,fine,___fi_ne______,__fAn_____,3133
129,Regular control for High-frequency regular-inconsistent,fast,___fa_st______,__f@st____,4058
130,Regular control for High-frequency regular-inconsistent,feet,___feet_______,__fit_____,2924
131,Regular control for High-frequency regular-inconsistent,get,___ge_t_______,__gEt_____,24986
132,Regular control for High-frequency regular-inconsistent,girl,___gi_rl______,__g^rl____,765
133,Regular control for High-frequency regular-inconsistent,gold,___go_ld______,__gold____,10318
134,Regular control for High-frequency regular-inconsistent,help,___he_lp______,__hElp____,15132
135,Regular control for High-frequency regular-inconsistent,high,___hi_gh______,__hA______,28551
136,Regular control for High-frequency regular-inconsistent,mile,___mi_le______,__mAl_____,1983
137,Regular control for High-frequency regular-inconsistent,plate,__pla_te______,_plet_____,428
138,Regular control for High-frequency regular-inconsistent,piece,___piece______,__pis_____,1850
139,Regular control for High-frequency regular-inconsistent,rod,___ro_d_______,__rad_____,251
140,Regular control for High-frequency regular-inconsistent,rice,___ri_ce______,__rAs_____,1209
141,Regular control for High-frequency regular-inconsistent,sent,___se_nt______,__sEnt____,4853
142,Regular control for High-frequency regular-inconsistent,such,___su_ch______,__s^C_____,48773
143,Regular control for High-frequency regular-inconsistent,skin,__ski_n_______,_skIn_____,868
144,Regular control for Low-frequency exception,bus,___bu_s_______,__b^s_____,1045
145,Regular control for Low-frequency exception,broke,__bro_ke______,_brok_____,1956
146,Regular control for Low-frequency exception,beam,___beam_______,__bim_____,267
147,Regular control for Low-frequency exception,deed,___deed_______,__did_____,99
148,Regular control for Low-frequency exception,dots,___do_ts______,__dats____,48
149,Regular control for Low-frequency exception,float,__float_______,_flot_____,289
150,Regular control for Low-frequency exception,grape,__gra_pe______,_grep_____,127
151,Regular control for Low-frequency exception,lunch,___lu_nch_____,__l^nC____,862
152,Regular control for Low-frequency exception,peel,___peel_______,__pil_____,38
153,Regular control for Low-frequency exception,fade,___fa_de______,__fed_____,213
154,Regular control for Low-frequency exception,pitch,___pi_tch_____,__pItC____,644
155,Regular control for Low-frequency exception,pump,___pu_mp______,__p^mp____,485
156,Regular control for Low-frequency exception,ripe,___ri_pe______,__rAp_____,264
157,Regular control for Low-frequency exception,slip,__sli_p_______,_slIp_____,535
158,Regular control for Low-frequency exception,sank,___sa_nk______,__s@nk____,480
159,Regular control for Low-frequency exception,slam,__sla_m_______,_sl@m_____,115
160,Regular control for Low-frequency exception,stunt,__stu_nt______,_st^nt____,124
161,Regular control for Low-frequency exception,swore,__swo_re______,_swor_____,27
162,Regular control for Low-frequency exception,trunk,__tru_nk______,_tr^nk____,102
163,Regular control for Low-frequency exception,wit,___wi_t_______,__wIt_____,193
164,Regular control for Low-frequency exception,weld,___we_ld______,__wEld____,119
165,Regular control for Low-frequency exception,wax,___wa_x_______,__w@ks____,110
166,Regular control for Low-frequency exception,wing,___wi_ng______,__wIng____,1331
167,Regular control for Low-frequency exception,wake,___wa_ke______,__wek_____,2069
168,Regular control for Low-frequency regular-inconsistent,brisk,__bri_sk______,_brIsk____,557
169,Regular control for Low-frequency regular-inconsistent,code,___co_de______,__kod_____,2480
170,Regular control for Low-frequency regular-inconsistent,cane,___ca_ne______,__ken_____,124
171,Regular control for Low-frequency regular-inconsistent,cope,___co_pe______,__kop_____,531
172,Regular control for Low-frequency regular-inconsistent,clang,__cla_ng______,_kl@ng____,9
173,Regular control for Low-frequency regular-inconsistent,dime,___di_me______,__dAm_____,209
174,Regular control for Low-frequency regular-inconsistent,fawn,___fawn_______,__fan_____,43
175,Regular control for Low-frequency regular-inconsistent,gong,___go_ng______,__gang____,30
176,Regular control for Low-frequency regular-inconsistent,hide,___hi_de______,__hAd_____,488
177,Regular control for Low-frequency regular-inconsistent,hike,___hi_ke______,__hAk_____,168
178,Regular control for Low-frequency regular-inconsistent,loom,___loom_______,__lum_____,173
179,Regular control for Low-frequency regular-inconsistent,leg,___le_g_______,__lEg_____,472
180,Regular control for Low-frequency regular-inconsistent,luck,___lu_ck______,__l^k_____,571
181,Regular control for Low-frequency regular-inconsistent,mix,___mi_x_______,__mIks____,1006
182,Regular control for Low-frequency regular-inconsistent,mole,___mo_le______,__mol_____,29
183,Regular control for Low-frequency regular-inconsistent,mist,___mi_st______,__mIst____,66
184,Regular control for Low-frequency regular-inconsistent,moist,___moist______,__mOst____,21
185,Regular control for Low-frequency regular-inconsistent,math,___ma_th______,__m@T_____,188
186,Regular control for Low-frequency regular-inconsistent,pail,___pail_______,__pel_____,19
187,Regular control for Low-frequency regular-inconsistent,peep,___peep_______,__pip_____,26
188,Regular control for Low-frequency regular-inconsistent,peach,___peach______,__piC_____,258
189,Regular control for Low-frequency regular-inconsistent,reef,___reef_______,__rif_____,48
190,Regular control for Low-frequency regular-inconsistent,taps,___ta_ps______,__t@ps____,83
191,Regular control for Low-frequency regular-inconsistent,tend,___te_nd______,__tEnd____,2120
